ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
13376,Rustam Boqiev,M,18.0,,,Tajikistan,TJK,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Extra-Lightweight,
28020,Raul Dgvareli,M,31.0,189.0,130.0,Tajikistan,TJK,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",
29061,Gulsara Dodoboeva,F,20.0,160.0,47.0,Tajikistan,TJK,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Marathon,
46386,Khurshed Hasanov,M,22.0,192.0,54.0,Tajikistan,TJK,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Bantamweight,
84870,Khayrullo Nazriev,M,23.0,,,Tajikistan,TJK,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Half-Heavyweight,
89431,Sergey Orin,M,17.0,,,Tajikistan,TJK,1996 Summer,1996,Summer,Atlanta,Diving,Diving Men's Springboard,
98348,Saidahtam Rahimov,M,23.0,,,Tajikistan,TJK,1996 Summer,1996,Summer,Atlanta,Judo,Judo Men's Heavyweight,
109937,Nataliya Shlemova,F,18.0,,,Tajikistan,TJK,1996 Summer,1996,Summer,Atlanta,Diving,Diving Women's Springboard,
