ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
5780,Galina Atayeva,F,24.0,155.0,48.0,Turkmenistan,TKM,1996 Summer,1996,Summer,Atlanta,Judo,Judo Women's Extra-Lightweight,
65099,Shokhrat Kurbanov,M,25.0,176.0,81.0,Turkmenistan,TKM,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Light-Middleweight,
74220,Vladimir Eduardovich Malyavin,M,23.0,188.0,75.0,Turkmenistan,TKM,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Long Jump,
84843,Olesya Nazarenko,F,20.0,,,Turkmenistan,TKM,1996 Summer,1996,Summer,Atlanta,Judo,Judo Women's Half-Heavyweight,
95127,Igor Pirekeyev,M,25.0,183.0,82.0,Turkmenistan,TKM,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",
99506,Rozy Redzhepov,M,26.0,183.0,94.0,Turkmenistan,TKM,1996 Summer,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",
115037,Aida Steshenko,F,27.0,168.0,58.0,Turkmenistan,TKM,1996 Summer,1996,Summer,Atlanta,Table Tennis,Table Tennis Women's Singles,
